game_pk,home,away
745715,2,3
745716,3,12
745717,9,1
745718,3,3
745719,5,8
745720,1,9
745721,6,1
745722,4,6
745723,0,3
745724,14,4
745725,3,5
745726,4,8
745727,1,3
745728,2,3
745729,1,8
745730,4,5
745731,8,3
745732,6,7
745733,4,2
745734,5,17
745735,3,11
745736,6,4
745737,1,2
745738,8,5
745739,5,1
745740,9,5
745741,5,0
745742,3,6
745743,7,3
745744,6,1
745745,7,2
745746,4,5
745747,4,2
745748,3,4
745749,9,4
745750,5,3
745751,5,2
745752,10,3
745753,7,3
745754,4,3
745755,1,3
745756,1,1
745757,0,2
745758,5,3
745759,5,4
745760,0,2
745761,7,0
745762,3,2
745763,2,5
745764,0,3
745765,8,3
745766,9,8
745767,2,1
745768,6,3
745769,10,6
745770,2,12
745771,10,0
745772,10,1
745773,1,1
745774,1,3
745775,4,0
745776,8,3
745777,4,4
745778,7,2
745779,4,1
745780,3,3
745781,3,3
745782,5,9
745783,6,7
745784,7,3
745785,4,0
745786,2,3
745787,2,0
745788,4,9
745789,3,8
745790,9,1
745791,15,2
745792,8,4
745793,0,4
745794,2,2
745795,2,9
745796,6,2
745797,5,8
745798,7,3
745799,7,0
745800,7,6
745801,6,9
745802,5,10
745803,7,5
745804,7,2
745805,5,1
745806,9,7
745807,11,6
745808,12,2
745809,1,2
745810,2,1
745811,10,4
745812,5,10
745813,4,5
745814,2,7
745815,2,4
745816,0,3
745817,3,10
745818,2,5
745819,3,2
745820,10,9
745821,0,4
745822,7,8
745823,2,7
745824,3,3
745825,2,3
745826,4,5
745827,2,4
745828,1,4
745829,0,1
745830,5,6
745831,4,2
745832,1,3
745833,4,7
745834,2,2
745835,2,4
745836,9,1
745837,3,1
745838,6,1
745839,7,11
745840,6,3
745841,2,1
745842,0,5
745843,1,1
745844,3,6
745845,1,4
745846,2,6
745847,2,7
745848,1,3
745849,2,9
745850,6,7
745851,1,4
745852,9,2
745853,6,8
745854,8,3
745855,4,8
745856,10,5
745857,6,4
745858,1,11
745859,0,15
745860,2,6
745861,4,3
745862,2,0
745863,2,3
745864,6,8
745865,6,10
745866,1,5
745867,13,3
745868,6,0
745869,1,4
745870,1,6
745871,6,3
745872,3,5
745873,1,2
745874,8,3
745875,10,2
745876,6,2
745877,4,4
745878,0,3
745879,13,7
745880,4,8
745881,7,2
745882,7,8
745883,2,2
745884,12,13
745885,9,3
745886,5,3
745887,2,3
745888,2,9
745889,6,7
745890,12,3
745891,8,7
745892,5,5
745893,6,6
745894,6,2
745895,6,2
745896,17,9
745897,5,0
745898,7,6
745899,4,5
745900,1,6
745901,5,3
745902,2,6
745903,4,2
745904,6,5
745905,3,2
745906,6,3
745907,0,5
745908,0,4
745909,1,5
745910,11,1
745911,3,1
745912,3,1
745913,2,9
745914,5,2
745915,6,10
745916,7,0
745917,5,5
745918,6,3
745919,6,3
745920,1,6
745921,4,3
745922,4,5
745923,3,2
745924,3,6
745925,2,4
745926,1,3
745927,4,2
745928,2,4
745929,10,9
745930,8,4
745931,6,0
745932,0,5
745933,1,1
745934,4,7
745935,1,5
745936,0,5
745937,1,5
745938,2,3
745939,6,2
745940,1,4
745941,2,3
745942,5,2
745943,5,3
745944,4,7
745945,6,0
745946,4,5
745947,9,3
745948,2,0
745949,5,3
745950,6,4
745951,5,4
745952,2,1
745953,2,5
745954,2,7
745955,1,0
745956,3,4
745957,8,3
745958,1,5
745959,8,3
745960,2,6
745961,6,2
745962,9,3
745963,5,6
745964,2,6
745965,2,5
745966,3,7
745967,0,1
745968,2,12
745969,9,0
745970,4,2
745971,7,1
745972,3,5
745973,3,1
745974,6,3
745975,5,5
745976,3,1
745977,5,4
745978,5,4
745979,5,6
745980,3,3
745981,0,3
745982,3,1
745983,12,5
745984,6,3
745985,6,4
745986,5,1
745987,3,6
745988,10,6
745989,4,3
745990,3,4
745991,6,8
745992,10,2
745993,11,2
745994,5,3
745995,7,1
745996,7,1
745997,8,2
745998,3,15
745999,0,1
746000,6,6
746001,5,15
746002,3,7
746003,12,4
746004,3,6
746005,1,0
746006,3,5
746007,5,5
746008,3,7
746009,3,2
746010,4,5
746011,4,20
746012,2,6
746013,4,3
746014,4,8
746015,11,9
746016,2,16
746017,10,1
746018,9,5
746019,3,3
746020,2,6
746021,2,5
746022,2,14
746023,7,2
746024,3,6
746025,7,6
746026,8,9
746027,6,9
746028,8,10
746029,1,3
746030,4,10
746031,6,4
746032,2,6
746033,2,8
746034,4,6
746035,6,3
746036,6,3
746037,6,7
746038,3,10
746039,4,4
746040,6,4
746041,0,1
746042,4,2
746043,5,6
746044,4,3
746045,2,7
746046,2,3
746047,3,8
746048,0,9
746049,8,8
746050,3,3
746051,6,4
746052,2,2
746053,3,2
746054,3,6
746055,6,7
746056,3,5
746057,0,8
746058,5,7
746059,8,2
746060,5,9
746061,0,6
746062,0,7
746063,1,0
746064,3,7
746065,8,0
746066,2,2
746067,9,9
746068,6,6
746069,3,8
746070,4,4
746071,2,8
746072,4,1
746073,6,6
746074,2,7
746075,4,11
746076,1,3
746077,9,12
746078,1,3
746079,7,9
746080,3,4
746081,6,3
746082,5,1
746083,2,10
746084,1,8
746085,4,7
746086,1,3
746087,3,9
746088,7,2
746089,5,6
746090,7,9
746091,2,7
746092,5,5
746093,2,4
746094,6,4
746095,4,3
746096,3,6
746097,3,6
746098,4,0
746099,7,2
746100,10,8
746101,4,10
746102,6,3
746103,6,4
746104,1,3
746105,2,3
746106,3,1
746107,6,3
746108,8,9
746109,3,0
746110,8,4
746111,3,3
746112,4,1
746113,9,5
746114,5,5
746115,4,9
746116,5,3
746117,6,4
746118,5,2
746119,3,8
746120,2,6
746121,6,6
746122,2,9
746123,4,1
746124,3,2
746125,9,6
746126,3,9
746127,8,5
746128,4,12
746129,5,3
746130,3,0
746131,2,3
746132,7,2
746133,5,5
746134,4,3
746135,2,7
746136,1,3
746137,1,3
746138,4,1
746139,15,2
746140,1,4
746141,4,0
746142,4,0
746143,0,6
746144,2,2
746145,3,7
746146,6,4
746147,8,2
746148,7,3
746149,6,3
746150,2,7
746151,3,1
746152,3,3
746153,5,1
746154,10,0
746155,11,2
746156,4,6
746157,6,2
746158,4,6
746159,0,2
746160,4,9
746161,5,2
746162,7,8
746163,5,4
746164,3,6
746165,7,1
746166,5,4
746167,6,3
746168,5,6
746169,5,4
746170,8,3
746171,8,9
746172,3,3
746173,2,5
746174,0,8
746175,11,15
746176,5,0
746177,3,5
746178,10,1
746179,4,8
746180,4,6
746181,3,5
746182,4,4
746183,3,2
746184,5,9
746185,2,6
746186,1,3
746187,1,6
746188,2,9
746189,3,2
746190,3,11
746191,3,2
746192,2,4
746193,1,5
746194,5,4
746195,8,6
746196,4,5
746197,10,7
746198,1,2
746199,5,6
746200,4,5
746201,3,2
746202,2,1
746203,1,3
746204,0,11
746205,7,2
746206,4,5
746207,4,5
746208,4,9
746209,6,7
746210,5,0
746211,5,5
746212,5,2
746213,7,5
746214,5,2
746215,5,3
746216,7,7
746217,3,6
746218,5,1
746219,0,2
746220,1,7
746221,3,2
746222,4,2
746223,1,6
746224,2,1
746225,3,8
746226,3,4
746227,4,10
746228,1,2
746229,4,3
746230,4,5
746231,7,2
746232,9,3
746233,5,10
746234,2,4
746235,6,7
746236,6,5
746237,5,11
746238,1,2
746239,5,7
746240,1,2
746241,4,10
746242,2,4
746243,3,5
746244,5,6
746245,5,16
746246,7,4
746247,2,4
746248,2,1
746249,6,8
746250,4,6
746251,2,12
746252,7,1
746253,0,2
746254,2,4
746255,0,9
746256,1,2
746257,5,0
746258,2,0
746259,4,2
746260,6,7
746261,1,3
746262,4,1
746263,3,11
746264,1,7
746265,2,4
746266,5,9
746267,3,0
746268,7,4
746269,8,3
746270,5,3
746271,2,11
746272,8,4
746273,5,6
746274,3,7
746275,5,8
746276,5,9
746277,6,0
746278,4,9
746279,6,8
746280,10,4
746281,2,6
746282,1,5
746283,4,2
746284,7,1
746285,8,10
746286,6,1
746287,4,1
746288,2,1
746289,2,7
746290,6,2
746291,5,1
746292,10,3
746293,1,2
746294,5,11
746295,2,4
746296,1,10
746297,5,6
746298,4,1
746299,2,3
746300,8,4
746301,3,3
746302,9,9
746303,8,11
746304,8,3
746305,3,7
746306,8,4
746307,8,3
746308,5,3
746309,10,3
746310,6,2
746311,4,15
746312,6,4
746313,3,2
746314,2,3
746315,5,6
746316,0,5
746317,3,2
746318,7,1
746319,3,5
746320,2,1
746321,3,2
746322,13,3
746323,11,2
746324,7,9
746325,9,4
746326,3,3
746327,10,1
746328,2,1
746329,3,0
746330,5,3
746331,1,8
746332,11,0
746333,1,5
746334,1,6
746335,1,4
746336,4,3
746337,6,3
746338,10,4
746339,8,9
746340,9,7
746341,3,1
746342,4,5
746343,8,0
746344,11,5
746345,6,12
746346,3,4
746347,7,2
746348,5,2
746349,5,6
746350,1,4
746351,4,4
746352,6,3
746353,2,2
746354,3,2
746355,6,1
746356,0,1
746357,4,5
746358,1,6
746359,2,0
746360,3,5
746361,5,0
746362,6,6
746363,5,4
746364,2,6
746365,2,6
746366,9,1
746367,6,3
746368,4,3
746369,1,2
746370,2,4
746371,6,3
746372,5,2
746373,8,1
746374,7,1
746375,14,11
746376,5,1
746377,4,1
746378,4,0
746379,2,4
746380,8,5
746381,5,13
746382,7,4
746383,3,4
746384,5,2
746385,5,5
746386,1,2
746387,1,6
746388,5,4
746389,2,4
746390,7,9
746391,8,1
746392,9,4
746393,9,2
746394,0,5
746395,4,5
746396,1,1
746397,3,0
746398,8,9
746399,2,3
746400,2,6
746401,4,5
746402,5,3
746403,8,2
746404,8,5
746405,9,2
746406,1,6
746407,8,0
746408,8,12
746409,10,0
746410,3,5
746411,1,2
746412,1,7
746413,3,4
746414,0,4
746415,4,3
746416,5,9
746417,4,1
746418,4,5
746419,4,2
746420,7,1
746421,2,1
746422,2,4
746423,1,0
746424,2,1
746425,7,4
746426,4,1
746427,2,4
746428,11,0
746429,6,2
746430,3,2
746431,2,2
746432,0,3
746433,5,7
746434,4,0
746435,15,1
746436,2,2
746437,2,1
746438,0,3
746439,2,3
746440,5,5
746441,0,5
746442,1,7
746443,2,9
746444,4,8
746445,0,5
746446,7,2
746447,9,9
746448,3,9
746449,3,3
746450,3,4
746451,8,9
746452,10,1
746453,5,4
746454,4,1
746455,1,0
746456,2,6
746457,11,2
746458,1,8
746459,1,5
746460,2,1
746461,4,5
746462,5,7
746463,10,2
746464,4,5
746465,7,2
746466,0,10
746467,8,0
746468,2,10
746469,11,11
746470,2,1
746471,6,5
746472,0,2
746473,0,1
746474,1,9
746475,6,2
746476,3,9
746477,1,2
746478,4,1
746479,2,5
746480,8,2
746481,11,6
746482,0,8
746483,4,1
746484,6,5
746485,7,9
746486,4,2
746487,4,5
746488,0,1
746489,5,11
746490,1,4
746491,8,2
746492,4,3
746493,1,7
746494,4,11
746495,10,8
746496,1,2
746497,5,4
746498,0,4
746499,2,13
746500,4,9
746501,2,5
746502,2,2
746503,8,2
746504,3,7
746505,1,6
746506,2,6
746507,7,5
746508,5,5
746509,9,5
746510,8,9
746511,3,5
746512,8,2
746513,3,2
746514,8,12
746515,3,8
746516,3,2
746517,9,8
746518,7,3
746519,6,3
746520,8,11
746521,3,5
746522,1,9
746523,6,5
746524,0,6
746525,20,7
746526,8,8
746527,4,3
746528,2,3
746529,3,1
746530,1,10
746531,7,3
746532,4,3
746533,4,2
746534,0,3
746535,7,7
746536,1,2
746537,3,4
746538,6,6
746539,3,5
746540,5,11
746541,7,7
746542,9,11
746543,5,9
746544,7,12
746545,2,5
746546,2,8
746547,16,4
746548,3,13
746549,8,6
746550,1,4
746551,7,4
746552,7,13
746553,4,2
746554,8,3
746555,3,1
746556,4,8
746557,5,2
746558,2,2
746559,0,5
746560,4,12
746561,2,8
746562,6,8
746563,9,1
746564,10,9
746565,1,3
746566,7,4
746567,2,5
746568,1,1
746569,7,5
746570,0,7
746571,2,3
746572,2,10
746573,3,5
746574,2,3
746575,6,8
746576,6,7
746578,3,4
746579,2,2
746580,2,5
746581,6,1
746582,4,4
746583,5,2
746584,6,1
746585,2,0
746586,1,3
746587,1,4
746588,4,3
746589,7,5
746590,0,3
746591,2,5
746592,6,1
746593,10,8
746594,1,6
746595,4,2
746596,4,9
746597,3,5
746598,6,1
746599,13,5
746600,6,7
746601,2,1
746602,3,5
746603,9,8
746604,3,7
746605,8,4
746606,5,9
746607,10,3
746608,4,7
746609,0,3
746610,1,2
746611,2,1
746612,2,8
746613,0,7
746614,5,4
746615,5,4
746616,5,4
746617,2,8
746618,7,0
746619,8,4
746620,2,4
746621,6,5
746622,6,3
746623,6,6
746624,7,1
746625,8,0
746626,6,3
746627,5,8
746628,3,4
746629,3,2
746630,8,5
746631,3,4
746632,2,5
746633,7,6
746634,6,3
746635,7,1
746636,2,2
746637,3,1
746638,7,11
746639,2,1
746640,4,4
746641,3,2
746642,11,4
746643,4,1
746644,7,1
746645,0,6
746646,6,4
746647,4,1
746648,7,7
746649,0,8
746650,10,2
746651,6,3
746652,6,2
746653,5,7
746654,4,0
746655,6,6
746656,2,3
746657,0,2
746658,2,8
746659,6,5
746660,7,1
746661,8,3
746662,1,7
746663,3,15
746664,1,0
746665,0,14
746666,12,5
746667,4,5
746668,5,3
746669,3,3
746670,8,9
746671,4,5
746672,6,9
746673,4,1
746674,1,7
746675,1,13
746676,1,8
746677,9,2
746678,4,13
746679,0,3
746680,2,8
746681,6,4
746682,6,1
746683,6,3
746684,7,1
746685,7,4
746686,2,3
746687,10,6
746688,8,1
746689,5,6
746690,12,6
746691,1,5
746692,6,0
746693,4,5
746694,3,5
746695,1,6
746696,11,5
746697,5,9
746698,5,2
746699,4,7
746700,3,4
746701,4,2
746702,3,5
746703,4,3
746704,3,2
746705,2,4
746706,3,5
746707,8,4
746708,3,1
746709,1,7
746710,3,1
746711,4,1
746712,3,7
746713,9,6
746714,4,6
746715,4,5
746716,2,0
746717,3,4
746718,2,6
